1109	474.825000000000	6397.21900000000	617.924000000000
1128	1784.68100000000	5589.90200000000	646.939000000000
1309	208.598000000000	4605.78600000000	642.034000000000
1509	148.986000000000	2846.62800000000	654.462100000000
1648	1848.67900000000	1547.24500000000	682.977000000000
1338	1817.84825401357	3830.06668006477	659.740000000000
1709	208.221000000000	1223.70100000000	670.953000000000
2189	3739.28600000000	5918.66800000000	650.891000000000
2389	3778.42500000000	4279.39200000000	669.761000000000
2589	3715.69700000000	2500.32100000000	666.754500000000
2789	3785.63900000000	715.638000000000	700.419000000000
-------------------------------------------------------------
